Discovery:53000 2022-06-15 00:51:54,223 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
Discovery:53000 2022-06-15 00:51:57,751 WARN [main][EndpointId.java:135] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
Discovery:53000 2022-06-15 00:51:58,818 INFO [main][GenericScope.java:294] - BeanFactory id=33c68227-122c-36dd-8028-a36de4f592a4
Discovery:53000 2022-06-15 00:51:59,144 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$639d3047] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
Discovery:53000 2022-06-15 00:52:00,874 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 53000 (http)
Discovery:53000 2022-06-15 00:52:00,927 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-53000"]
Discovery:53000 2022-06-15 00:52:00,958 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
Discovery:53000 2022-06-15 00:52:00,962 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
Discovery:53000 2022-06-15 00:52:00,994 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [E:\jdk1.8.0_161\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files\VanDyke Software\Clients\;E:\Anaconda;E:\Anaconda\Library\mingw-w64\bin;E:\Anaconda\Library\usr\bin;E:\Anaconda\Library\bin;E:\Anaconda\Scripts;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;E:\mysql-5.7.20-winx64\bin;C:\Program Files\dotnet\;E:\nodejs\;C:\Users\Administrator\AppData\Roaming\npm;E:\nodejs\node_global\;C:\Program Files (x86)\Common Files\Thunder Network\KanKan\Codecs;E:\spark-2.1.1-hadoop2.7\bin;D:\Android\Sdk\platform-tools;E:\TortoiseSVN\bin;E:\TortoiseSVN\bin;E:\Subversion\bin;C:\Program Files\Docker\Docker\resources\bin;C:\ProgramData\DockerDesktop\version-bin;E:\CMake\bin;C:\mingw64\bin;E:\scala-2.12.15\bin;C:\Program Files (x86)\scala\bin;E:\spark\bin;E:\spark-2.1.1-hadoop2.7\bin;E:\NetSarang\Xshell 7\;E:\NetSarang\Xftp 7\;C:\Program Files\Git\cmd;E:\apache-maven-3.6.3\bin;C:\Users\Administrator\AppData\Local\Microsoft\WindowsApps;E:\IntelliJ IDEA\bin;;C:\Users\Administrator\AppData\Roaming\npm;E:\nodejs\node_global\;C:\Users\Administrator\.dotnet\tools;C:\Users\Administrator\AppData\Local\GitHubDesktop\bin;E:\Microsoft VS Code\bin;.]
Discovery:53000 2022-06-15 00:52:01,889 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
Discovery:53000 2022-06-15 00:52:01,891 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 7608 ms
Discovery:53000 2022-06-15 00:52:02,717 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
Discovery:53000 2022-06-15 00:52:02,721 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
Discovery:53000 2022-06-15 00:52:02,841 INFO [main][DynamicPropertyFactory.java:281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@3662bdff
Discovery:53000 2022-06-15 00:52:09,020 INFO [main][InetUtils.java:170] - Cannot determine local hostname
Discovery:53000 2022-06-15 00:52:10,229 INFO [main][WebApplicationImpl.java:815] - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
Discovery:53000 2022-06-15 00:52:10,595 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
Discovery:53000 2022-06-15 00:52:10,596 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
Discovery:53000 2022-06-15 00:52:11,102 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
Discovery:53000 2022-06-15 00:52:11,104 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
Discovery:53000 2022-06-15 00:52:13,475 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
Discovery:53000 2022-06-15 00:52:13,476 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
Discovery:53000 2022-06-15 00:52:14,439 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
Discovery:53000 2022-06-15 00:52:21,170 INFO [main][InetUtils.java:170] - Cannot determine local hostname
Discovery:53000 2022-06-15 00:52:21,679 INFO [main][InstanceInfoFactory.java:71] - Setting initial instance status as: STARTING
Discovery:53000 2022-06-15 00:52:21,851 INFO [main][DiscoveryClient.java:349] - Initializing Eureka in region us-east-1
Discovery:53000 2022-06-15 00:52:21,852 INFO [main][DiscoveryClient.java:352] - Client configured to neither register nor query for data.
Discovery:53000 2022-06-15 00:52:21,902 INFO [main][DiscoveryClient.java:365] - Discovery Client initialized at timestamp 1655225541880 with initial instances count: 0
Discovery:53000 2022-06-15 00:52:22,060 INFO [main][DefaultEurekaServerContext.java:63] - Initializing ...
Discovery:53000 2022-06-15 00:52:22,071 INFO [main][PeerEurekaNodes.java:188] - Adding new peer nodes [http://localhost:53000/eureka/]
Discovery:53000 2022-06-15 00:52:25,034 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
Discovery:53000 2022-06-15 00:52:25,036 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
Discovery:53000 2022-06-15 00:52:25,037 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
Discovery:53000 2022-06-15 00:52:25,039 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
Discovery:53000 2022-06-15 00:52:25,563 INFO [main][PeerEurekaNodes.java:110] - Replica node URL:  http://localhost:53000/eureka/
Discovery:53000 2022-06-15 00:52:25,596 INFO [main][AbstractInstanceRegistry.java:151] - Finished initializing remote region registries. All known remote regions: []
Discovery:53000 2022-06-15 00:52:25,600 INFO [main][DefaultEurekaServerContext.java:70] - Initialized
Discovery:53000 2022-06-15 00:52:25,634 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
Discovery:53000 2022-06-15 00:52:25,895 INFO [main][EurekaServiceRegistry.java:42] - Registering application HNRADIO-DISCOVERY with eureka with status UP
Discovery:53000 2022-06-15 00:52:25,907 INFO [Thread-84][EurekaServerBootstrap.java:109] - Setting the eureka configuration..
Discovery:53000 2022-06-15 00:52:25,910 INFO [Thread-84][EurekaServerBootstrap.java:114] - Eureka data center value eureka.datacenter is not set, defaulting to default
Discovery:53000 2022-06-15 00:52:25,911 INFO [Thread-84][EurekaServerBootstrap.java:128] - Eureka environment value eureka.environment is not set, defaulting to test
Discovery:53000 2022-06-15 00:52:25,941 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-53000"]
Discovery:53000 2022-06-15 00:52:25,950 INFO [Thread-84][EurekaServerBootstrap.java:184] - isAws returned false
Discovery:53000 2022-06-15 00:52:25,952 INFO [Thread-84][EurekaServerBootstrap.java:152] - Initialized server context
Discovery:53000 2022-06-15 00:52:25,952 INFO [Thread-84][PeerAwareInstanceRegistryImpl.java:241] - Got 1 instances from neighboring DS node
Discovery:53000 2022-06-15 00:52:25,954 INFO [Thread-84][PeerAwareInstanceRegistryImpl.java:242] - Renew threshold is: 1
Discovery:53000 2022-06-15 00:52:25,955 INFO [Thread-84][PeerAwareInstanceRegistryImpl.java:253] - Changing status to UP
