[Repayment-Service][53080] 2022-07-09 19:00:01,504 INFO [hmilyTransaction-tccRollBackService-1][LogUtil.java:87] - rollback execute delayTime:60
[Repayment-Service][53080] 2022-07-09 19:00:18,132 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:00:20,178 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:00:21,448 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:00:22,220 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:00:41,163 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:00:43,189 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:00:47,950 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:00:49,996 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:00:51,466 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:00:52,058 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:01,513 INFO [hmilyTransaction-tccRollBackService-1][LogUtil.java:87] - rollback execute delayTime:60
[Repayment-Service][53080] 2022-07-09 19:01:05,231 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:07,276 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:17,943 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:19,980 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:21,457 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:22,004 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:29,303 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:31,337 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:47,947 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:49,991 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:51,453 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:52,018 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:54,053 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:01:56,082 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:02:01,525 INFO [hmilyTransaction-tccRollBackService-1][LogUtil.java:87] - rollback execute delayTime:60
[Repayment-Service][53080] 2022-07-09 19:02:17,967 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:02:19,986 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:02:21,461 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:02:22,009 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:02:24,040 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:02:46,077 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:02:48,116 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[Repayment-Service][53080] 2022-07-09 19:02:50,144 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
